id,drive_id,game_id,drive_number,play_number,offense,offense_conference,offense_score,defense,home,away,defense_conference,defense_score,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,yards_gained,scoring,play_type,play_text,ppa,wallclock
401520242101854501,4015202421,401520242,1,1,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 14, 'seconds': 54}",3,3,35,65,0,0,0,False,Kickoff,Caleb Krockover kickoff for 65 yds,,2023-09-16T23:37:57.000Z
401520242101854503,4015202421,401520242,1,2,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 14, 'seconds': 54}",3,3,80,80,1,10,1,False,Rush,LeQuint Allen run for 1 yd to the SYR 21,-0.46882789768185695,2023-09-16T23:37:57.000Z
401520242101854504,4015202421,401520242,1,3,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 14, 'seconds': 54}",3,3,79,79,2,9,13,False,Pass Reception,Garrett Shrader pass complete to Donovan Brown for 13 yds to the SYR 34 for a 1ST down,1.5181163035573455,2023-09-16T23:37:57.000Z
401520242101854505,4015202421,401520242,1,4,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 14, 'seconds': 54}",3,3,66,66,1,10,-1,False,Rush,Garrett Shrader run for a loss of 1 yard to the SYR 33,-1.140315983000674,2023-09-16T23:37:57.000Z
401520242101854506,4015202421,401520242,1,5,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 14, 'seconds': 54}",3,3,67,67,2,11,-5,False,Penalty,"Syracuse Penalty, False Start (Enrique Cruz Jr.) to the SYR 28",,2023-09-16T23:37:57.000Z
401520242101854507,4015202421,401520242,1,6,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 14, 'seconds': 54}",3,3,72,72,2,16,0,False,Pass Incompletion,Garrett Shrader pass incomplete,-0.22992956024623545,2023-09-16T23:37:57.000Z
401520242101854508,4015202421,401520242,1,7,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 14, 'seconds': 54}",3,3,72,72,3,16,9,False,Pass Reception,Garrett Shrader pass complete to LeQuint Allen for 9 yds to the SYR 37,0.20256782711843702,2023-09-16T23:37:57.000Z
401520242101875701,4015202421,401520242,1,8,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 12, 'seconds': 42}",3,3,63,63,4,7,0,False,Punt,"Jack Stonehouse punt for 20 yds, downed at the PUR 43",,2023-09-16T23:41:30.000Z
401520242101875703,4015202422,401520242,2,1,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,43,57,1,10,3,False,Rush,Hudson Card run for 3 yds to the PUR 46,-0.4309799951978805,2023-09-16T23:41:30.000Z
401520242101875704,4015202422,401520242,2,2,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,46,54,2,7,1,False,Pass Reception,Hudson Card pass complete to Devin Mockobee for 1 yd to the PUR 47,-0.8759999549792975,2023-09-16T23:41:30.000Z
401520242101875705,4015202422,401520242,2,3,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,47,53,3,6,11,False,Pass Reception,Hudson Card pass complete to Devin Mockobee for 11 yds to the SYR 42 for a 1ST down,2.4773611761163803,2023-09-16T23:41:30.000Z
401520242101875706,4015202422,401520242,2,4,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,58,42,1,10,1,False,Rush,Devin Mockobee run for 1 yd to the SYR 41,-0.6970479149495327,2023-09-16T23:41:30.000Z
401520242101875707,4015202422,401520242,2,5,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,59,41,2,9,5,False,Pass Reception,Hudson Card pass complete to Abdur-Rahmaan Yaseen for 5 yds to the SYR 36,0.0730379874461277,2023-09-16T23:41:30.000Z
401520242101875708,4015202422,401520242,2,6,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,64,36,3,4,5,False,Pass Reception,Hudson Card pass complete to Tyrone Tracy Jr. for 5 yds to the SYR 31 for a 1ST down,1.076999229002581,2023-09-16T23:41:30.000Z
401520242101875709,4015202422,401520242,2,7,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,69,31,1,10,17,False,Pass Reception,Hudson Card pass complete to Abdur-Rahmaan Yaseen for 17 yds to the SYR 14 for a 1ST down,0.2936629948938665,2023-09-16T23:41:30.000Z
401520242101875710,4015202422,401520242,2,8,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,86,14,1,10,9,False,Rush,Tyrone Tracy Jr. run for 9 yds to the SYR 5,0.6137678348706395,2023-09-16T23:41:30.000Z
401520242101875711,4015202422,401520242,2,9,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,95,5,2,1,0,False,Rush,Tyrone Tracy Jr. run for no gain to the SYR 5,-0.557930650709734,2023-09-16T23:41:30.000Z
401520242101875712,4015202422,401520242,2,10,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 12, 'seconds': 42}",3,3,95,5,3,1,0,False,Rush,Devin Mockobee run for no gain to the SYR 5,-0.361126152882802,2023-09-16T23:41:30.000Z
401520242101926201,4015202422,401520242,2,11,Purdue,Big Ten,0,Syracuse,Purdue,Syracuse,ACC,0,1,"{'minutes': 7, 'seconds': 37}",3,3,95,5,4,1,-1,False,Fumble Recovery (Opponent),"Hudson Card run for a loss of 1 yard to the SYR 6 Hudson Card fumbled, recovered by SYR Leon Lowery",,2023-09-16T23:52:46.000Z
401520242101926203,4015202423,401520242,3,1,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,94,94,1,10,1,False,Rush,LeQuint Allen run for 1 yd to the SYR 7,-0.24672188323678768,2023-09-16T23:52:46.000Z
401520242101926204,4015202423,401520242,3,2,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,93,93,2,9,9,False,Pass Reception,Garrett Shrader pass complete to Damien Alford for 9 yds to the SYR 16 for a 1ST down,0.5640460168141397,2023-09-16T23:52:46.000Z
401520242101926205,4015202423,401520242,3,3,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,84,84,1,10,8,False,Rush,Garrett Shrader run for 8 yds to the SYR 24,0.707535595975485,2023-09-16T23:52:46.000Z
401520242101926206,4015202423,401520242,3,4,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,76,76,2,2,5,False,Rush,Garrett Shrader run for 5 yds to the SYR 29 for a 1ST down,0.096216858473225,2023-09-16T23:52:46.000Z
401520242101926207,4015202423,401520242,3,5,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,71,71,1,10,6,False,Pass Reception,Garrett Shrader pass complete to Donovan Brown for 6 yds to the SYR 35,0.366045681425021,2023-09-16T23:52:46.000Z
401520242101926208,4015202423,401520242,3,6,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,65,65,2,4,27,False,Pass Reception,Garrett Shrader pass complete to Damien Alford for 27 yds to the PUR 38 for a 1ST down,2.314978542744756,2023-09-16T23:52:46.000Z
401520242101926209,4015202423,401520242,3,7,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,38,38,1,10,0,False,Pass Incompletion,Garrett Shrader pass incomplete,-0.7828922522763084,2023-09-16T23:52:46.000Z
401520242101926210,4015202423,401520242,3,8,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,38,38,2,10,0,False,Pass Incompletion,Garrett Shrader pass incomplete,-0.9886314711142071,2023-09-16T23:52:46.000Z
401520242101926211,4015202423,401520242,3,9,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,38,38,3,10,15,False,Rush,Garrett Shrader run for 15 yds to the PUR 23 for a 1ST down,2.202138693904475,2023-09-16T23:52:46.000Z
401520242101926212,4015202423,401520242,3,10,Syracuse,ACC,0,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 7, 'seconds': 37}",3,3,23,23,1,10,20,False,Rush,Garrett Shrader run for 20 yds to the PUR 3 for a 1ST down,1.1995259453398914,2023-09-16T23:52:46.000Z
401520242101965201,4015202423,401520242,3,11,Syracuse,ACC,7,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 3, 'seconds': 47}",3,3,3,3,1,3,3,True,Rushing Touchdown,Garrett Shrader run for 3 yds for a TD (Brady Denaburg KICK),1.464451732731337,2023-09-17T00:04:47.000Z
401520242101965203,4015202424,401520242,4,1,Syracuse,ACC,7,Purdue,Purdue,Syracuse,Big Ten,0,1,"{'minutes': 3, 'seconds': 47}",3,3,65,65,0,0,0,False,Kickoff,Brady Denaburg kickoff for 65 yds for a touchback,,2023-09-17T00:04:47.000Z
