season,id,name,position,team,conference,usage
2023,4429032,Hudson Card,QB,Purdue,Big Ten,"{'overall': 0.575, '_pass': 0.9853, 'rush': 0.1746, 'first_down': 0.5034, 'second_down': 0.566, 'third_down': 0.722, 'standard_downs': 0.468, 'passing_downs': 0.747}"
2023,4686065,Devin Mockobee,RB,Purdue,Big Ten,"{'overall': 0.2242, '_pass': 0.0411, 'rush': 0.4142, 'first_down': 0.2703, 'second_down': 0.243, 'third_down': 0.111, 'standard_downs': 0.28, 'passing_downs': 0.12}"
2023,4360516,Tyrone Tracy Jr.,RB,Purdue,Big Ten,"{'overall': 0.1441, '_pass': 0.0411, 'rush': 0.2515, 'first_down': 0.1655, 'second_down': 0.155, 'third_down': 0.097, 'standard_downs': 0.188, 'passing_downs': 0.092}"
2023,4431398,Dylan Downing,RB,Purdue,Big Ten,"{'overall': 0.0771, '_pass': 0.0147, 'rush': 0.142, 'first_down': 0.0709, 'second_down': 0.084, 'third_down': 0.09, 'standard_downs': 0.075, 'passing_downs': 0.083}"
2023,4683151,Deion Burks,WR,Purdue,Big Ten,"{'overall': 0.0597, '_pass': 0.1114, 'rush': 0.0089, 'first_down': 0.0541, 'second_down': 0.071, 'third_down': 0.042, 'standard_downs': 0.086, 'passing_downs': 0.041}"
2023,4430470,TJ Sheffield,WR,Purdue,Big Ten,"{'overall': 0.0466, '_pass': 0.0938, 'rush': 0.0, 'first_down': 0.0372, 'second_down': 0.044, 'third_down': 0.069, 'standard_downs': 0.032, 'passing_downs': 0.069}"
2023,4570417,Garrett Miller,TE,Purdue,Big Ten,"{'overall': 0.0408, '_pass': 0.0821, 'rush': 0.0, 'first_down': 0.0439, 'second_down': 0.049, 'third_down': 0.028, 'standard_downs': 0.038, 'passing_downs': 0.037}"
2023,4433940,Abdur-Rahmaan Yaseen,WR,Purdue,Big Ten,"{'overall': 0.0349, '_pass': 0.0704, 'rush': 0.0, 'first_down': 0.0304, 'second_down': 0.035, 'third_down': 0.042, 'standard_downs': 0.022, 'passing_downs': 0.051}"
2023,4833029,Max Klare,TE,Purdue,Big Ten,"{'overall': 0.032, '_pass': 0.0645, 'rush': 0.0, 'first_down': 0.0372, 'second_down': 0.022, 'third_down': 0.042, 'standard_downs': 0.011, 'passing_downs': 0.041}"
2023,5150861,Jayden Dixon-Veal,WR,Purdue,Big Ten,"{'overall': 0.0233, '_pass': 0.0469, 'rush': 0.0, 'first_down': 0.0101, 'second_down': 0.031, 'third_down': 0.035, 'standard_downs': 0.022, 'passing_downs': 0.041}"
2023,4428337,Mershawn Rice,WR,Purdue,Big Ten,"{'overall': 0.0058, '_pass': 0.0117, 'rush': 0.0, 'first_down': 0.0, 'second_down': 0.009, 'third_down': 0.014, 'standard_downs': 0.005, 'passing_downs': 0.014}"
2023,4899880,Bennett Meredith,QB,Purdue,Big Ten,"{'overall': 0.0058, '_pass': 0.0117, 'rush': 0.0, 'first_down': 0.0, 'second_down': 0.004, 'third_down': 0.014, 'standard_downs': 0.016, 'passing_downs': 0.005}"
2023,4693184,Andrew Sowinski,WR,Purdue,Big Ten,"{'overall': 0.0044, '_pass': 0.0088, 'rush': 0.0, 'first_down': 0.0034, 'second_down': 0.009, 'third_down': 0.0, 'standard_downs': 0.0, 'passing_downs': 0.009}"
2023,5122546,Addai Lewellen,RB,Purdue,Big Ten,"{'overall': 0.0015, '_pass': 0.0, 'rush': 0.003, 'first_down': 0.0034, 'second_down': 0.0, 'third_down': 0.0, 'standard_downs': 0.0, 'passing_downs': 0.0}"
2023,4431001,Elijah Canion,WR,Purdue,Big Ten,"{'overall': 0.0015, '_pass': 0.0029, 'rush': 0.0, 'first_down': 0.0, 'second_down': 0.004, 'third_down': 0.0, 'standard_downs': 0.005, 'passing_downs': 0.0}"
2023,5078225,Jaron Tibbs,WR,Purdue,Big Ten,"{'overall': 0.0015, '_pass': 0.0029, 'rush': 0.0, 'first_down': 0.0, 'second_down': 0.004, 'third_down': 0.0, 'standard_downs': 0.0, 'passing_downs': 0.005}"
